procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 133628  15452 283804    0    0     0     0  252  143  1  0 99  0  0
 0  0      0 133628  15452 283804    0    0     0     0  254  145  0  0 100  0  0
 0  0      0 133628  15452 283804    0    0     0     0  252  143  1  1 98  0  0
 0  0      0 133628  15452 283804    0    0     0     0  255  147  2  1 97  0  0
 0  0      0 133628  15452 283804    0    0     0     0  252  139  2  0 98  0  0
 0  0      0 133628  15452 283804    0    0     0     0  255  152  0  0 100  0  0
 0  0      0 133628  15452 283804    0    0     0     0  254  145  1  0 99  0  0
 0  0      0 133628  15452 283804    0    0     0     0  254  148  2  0 98  0  0
 0  0      0 133628  15452 283804    0    0     0     0  254  141  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 133628  15452 283808    0    0     0     0  255  142  0  1 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  249  141  1  1 98  0  0
 0  0      0 133628  15452 283808    0    0     0     0  254  146  1  0 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  253  143  1  0 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  256  147  1  0 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  252  136  0  0 100  0  0
 0  0      0 133628  15452 283808    0    0     0     0  254  149  0  0 100  0  0
 0  0      0 133628  15452 283808    0    0     0     0  252  139  0  1 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  253  146  0  0 100  0  0
 0  0      0 133628  15452 283808    0    0     0     0  252  142  1  0 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  255  140  1  0 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  253  140  1  0 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  255  146  1  1 98  0  0
 0  0      0 133628  15452 283808    0    0     0     0  253  139  2  1 97  0  0
 0  0      0 133628  15452 283808    0    0     0     0  255  149  1  0 99  0  0
